Issuekey,IssueId,Summary,Complexity,Component1,Component2,Component3,TestCoverage
EBBT-7426,775337,[REGRESSION] Access Policy,,Automated Test,Regression Test,,
EBBT-7428,775360,[REGRESSION] Discount,,Automated Test,Regression Test,,
EBBT-7692,841331,[REGRESSION] Rate Management,,Automated Test,Regression Test,,
EBBT-7693,841332,[REGRESSION] User Category Management,,Automated Test,Regression Test,,
EBBT-7691,841330,[REGRESSION] Customer Management,,Automated Test,Regression Test,,
EBBT-4944,371321,[REGRESSION] Dynamic Pricing,,Regression Test,,,
EBBT-5006,381045,[REGRESSION] Interlock double level,,Regression Test,,,
EBBT-4999,379546,[REGRESSION] Boot with last known configuration,,Regression Test,,,
EBBT-5000,379564,[REGRESSION] Print/Display User Category/Event Name on ticket/in JMS operations,,Regression Test,,,
EBBT-5220,397967,[REGRESSION] Management System Parameters,L,Automated Test,Regression Test,,
EBBT-5197,397941,[REGRESSION] Value Card Management,,Automated Test,Regression Test,,
EBBT-5005,379835,[REGRESSION] ATOUTPORT integration,,Regression Test,,,
EBBT-4815,354009,[REGRESSION] User category association in product profiles,,Regression Test,,,
EBBT-4809,352580,[REGRESSION] LPR Blocked list/Warning list,,Regression Test,,,
EBBT-4807,352552,[REGRESSION] Negotiated amount,,Regression Test,,,
EBBT-4509,334409,[REGRESSION] JWorld\JPass,,Regression Test,,,
EBBT-4502,333717,[REGRESSION] Voucher Management,,Regression Test,,,
EBBT-4500,333583,[REGRESSION] Transient Management,,Regression Test,,,
EBBT-4501,333609,[REGRESSION] Central Management,,Regression Test,,,
EBBT-4498,333571,[REGRESSION] JMS Manual Installation,,Regression Test,,,
EBBT-4681,345158,[REGRESSION] Report Check,,Regression Test,,,
EBBT-4687,345164,[REGRESSION] RFPark Wiegand Card,,Regression Test,,,
EBBT-4683,345160,[REGRESSION] Gateless,,Regression Test,,,
EBBT-4686,345163,[REGRESSION] Credit Receipt Refund,,Regression Test,,,
EBBT-4690,345170,[REGRESSION] EPARK Paris Integration,,Regression Test,,,
EBBT-4680,345157,[REGRESSION] External Service,,Regression Test,,,
EBBT-4678,345155,[REGRESSION] Lane Section,,Regression Test,,,
EBBT-4692,345177,[REGRESSION] Currency Localization Check,,Regression Test,,,
EBBT-4685,345162,[REGRESSION] Telepass,,Regression Test,,,
EBBT-4684,345161,[REGRESSION] Fixed Path,,Regression Test,,,
EBBT-4682,345159,[REGRESSION] Ticketless,,Regression Test,,,
EBBT-4689,345167,[REGRESSION] Management System Parameters,,Regression Test,,,
EBBT-4688,345165,[REGRESSION] Event Parking,,Regression Test,,,
EBBT-4691,345176,[REGRESSION] Bulgarian Certification,,Regression Test,,,
